Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		2229.9959528
2	0		2140.0507628
3	0		2307.9701316
4	0		2224.2499768
5	0		2111.0129847
6	0		3800.0106615
7	0		2998.4742891
8	0		3821.9029588
9	0		2223.1534371
10	0		2140.9660367
11	0		2139.0635676
12	0		2286.0803339
13	0		2793.3720712
14	0		1971.9748151
15	1	Plus1Oxy:22	2732.2856254
16	0		2028.9461602
17	1	Plus1Oxy:21	2358.1412005
18	0		2437.1906156
19	0		2056.9300555
20	0		2272.1520545
21	0		1954.0482523
22	0		2840.3099229
23	1	Plus1Oxy:27	3047.6112258
24	0		2749.3081378
25	0		1963.0737395
26	0		2283.0840372
27	0		1796.9995193
28	0		1957.9777929
29	0		2571.2015595
30	0		2208.0545127
31	0		2124.0737969
32	0		2700.3717372
33	0		2447.2654928
34	0		2345.2048139
35	0		2192.1258418
36	0		1771.8885915
37	0		1946.9292607
38	0		2780.3801924
39	0		2212.1810433
40	0		2083.0771088
41	0		2126.1590587
42	0		1770.8747162
43	0		2743.4615492
44	1	Plus1Oxy:28	3333.5280191
45	0		2032.0992266
46	0		3316.6396291
47	1	Plus1Oxy:21	2245.9908528
48	0		2257.1436567
49	0		2300.0530726
50	0		3247.6103062
51	0		1941.9795095
52	0		2762.3622333
53	1	Plus1Oxy:2	2307.9952707
54	1	Plus1Oxy:24	2633.3216650
55	0		2191.0351710
56	0		1966.0482523
57	0		1809.8379976
58	0		2900.2623069
59	0		2075.0421643
60	0		2140.0363528
61	0		2387.2178768
62	0		2263.1523775
63	0		2603.2396826
64	0		1829.9423420
65	0		1898.0148346
66	0		2113.8863966
67	0		2713.3386535
68	0		2213.1075486
69	0		2360.1892220
70	1	Plus1Oxy:3	2004.9924261
71	0		1938.0421068
72	0		2299.1305937
73	0		3038.5154831
74	0		2083.1200194
75	1	Plus1Oxy:16	2323.9650316
76	0		2321.1538285
77	0		2864.3503339
78	0		2744.3294198
79	0		2708.2524115
80	0		2565.2314290
81	0		2687.2785668
82	0		1954.8729996
83	0		1956.8224057
84	0		1638.8940005
85	0		2495.1127495
86	0		2076.1941821
87	0		2405.2001085
88	0		1976.0399987
89	0		2648.3597228
90	0		2113.0366868
91	0		3059.6025080
92	0		2241.0853624
93	0		2225.1690864
94	0		2248.2789656
95	0		2617.3267650
96	1	Plus1Oxy:15	1973.9726929
97	0		2174.1945736
98	1	Plus1Oxy:1	2009.9509091
99	0		2378.1211473
100	1	Plus1Oxy:3	1874.9294373
101	0		3135.5147576
102	0		2422.2015020
103	0		2187.0734629
104	0		2170.9653687
105	0		2374.1619608
106	0		2163.0667462
107	0		3078.4463598
108	0		1933.9744236
109	0		2288.1647259
110	0		3675.8028025
111	0		3015.6027846
112	0		1780.9542989
113	0		1974.9322275
114	0		2921.3233308
115	0		2245.9697401
116	0		3042.6289398
117	0		2157.0489778
118	0		2040.9679441
119	0		1591.8238751
120	1	Plus1Oxy:18	2633.2794115
121	0		2139.0846943
122	0		2716.2907254
123	1	Plus1Oxy:1	2916.4326038
124	0		2523.3331761
125	0		1887.8784196
126	0		1805.8794681
127	0		1868.9085263
128	0		2021.9037735
129	0		2858.3611099
130	0		1778.8586754
131	0		2580.3294837
132	0		2186.1105730
133	1	Plus1Oxy:3	1922.9341428
134	0		1704.7114095
135	0		2177.2670087
136	0		2800.2786242
137	0		2148.9198837
138	0		2214.0585500
139	1	Plus1Oxy:11	2279.1578519
140	0		2183.0017533
141	0		2351.1652617
142	0		1939.9923827
143	0		2167.1060976
144	0		2326.1035797
145	0		2070.1095134
146	0		2062.0693790
147	0		1933.9744236
148	1	Plus1Oxy:16	2732.2856254
149	0		2769.3972244
150	0		1700.8692388
151	0		1906.9392428
152	0		2087.1261648
153	0		2153.0388059
154	0		1946.8685707
155	0		2467.2494520
156	0		3026.4925138
157	0		2105.0751905
158	0		2262.1272928
159	0		2020.0475842
160	0		1987.9486024
161	0		2157.0159625
162	0		2311.1079401
163	0		2093.0388059
164	0		2057.9978601
165	0		1756.9107093
166	0		1542.6797194
167	0		1858.9345373
168	0		2056.0687110
169	0		1945.0043287
170	1	Plus1Oxy:13	2208.1207418
171	0		1678.9001459
172	0		1844.9267501
173	0		2433.2233543
174	0		2556.2780320
175	0		2666.2763902
176	1	Plus1Oxy:3	2428.1062669
177	0		1924.0417153
178	0		2757.3028621
179	1	Plus1Oxy:3	2099.0720088
180	0		2156.0894572
181	0		1965.9754831
182	0		1907.9264161
183	0		2513.3223361
184	0		1928.9227237
185	0		2273.1989450
186	0		1735.8297440
187	0		1975.0261235
188	0		2183.0381378
189	0		2222.2381632
190	0		1718.8222908
191	0		2222.0966512
192	1	Plus1Oxy:21	2240.2448768
193	0		2342.1463005
194	0		2359.2494520
195	1	Plus1Oxy:1	1942.8869073
196	0		1734.0766489
197	0		2044.9700631
198	0		2003.9799010
199	0		2584.2808081
200	0		2900.4377038
201	0		2029.9915239
202	0		1953.0206460
203	0		1628.7827386
204	0		1961.9549495
205	0		2015.9621436
206	0		2805.4435043
207	0		2350.0824529
208	0		2628.2302253
209	0		2381.2589559
210	0		1892.9665040
211	0		1813.9169122
212	0		2097.0337199
213	0		3352.7373606
214	0		2944.4412629
215	1	Plus1Oxy:13	1884.9034263
216	0		2263.1629519
217	0		3322.4868967
218	0		2158.0920326
219	0		2004.0050542
220	0		1768.9206046
221	0		2255.2160343
222	0		2474.2837860
223	0		1854.9838700
224	0		2309.1538285
225	1	Plus1Oxy:17	1991.9257449
226	0		2204.1397635
227	0		1980.9978027
228	0		1964.0213715
229	0		1804.9682206
230	0		3096.3861872
231	0		1937.9554159
232	0		2361.0467939
233	0		2098.1057636
234	2	Plus1Oxy:3,Plus1Oxy:18	1938.9290428
235	0		2332.1731812
236	0		1674.8001045
237	0		1673.7572405
238	1	Plus1Oxy:10	1768.8412954
239	0		1676.8216228
240	0		2716.4070622
241	0		2529.2749967
242	0		2202.0479757
243	0		2292.0003707
244	0		2469.2242240
245	0		2881.4860343
246	0		2540.3121068
247	0		1976.0101401
248	0		1946.9889559
249	0		1992.0203120
250	0		2400.2786891
251	0		1892.9301194
252	0		1714.7546076
253	0		2219.1836762
254	0		1775.8835055
255	0		2021.0217056
256	0		3147.4743466
257	0		3300.6584460
