ScanNumber	ScanTypeName	ScanType
297	CID-MSn	2
298	HMS	1
299	CID-MSn	2
300	CID-MSn	2
301	CID-MSn	2
302	CID-MSn	2
303	CID-MSn	2
304	CID-MSn	2
305	CID-MSn	2
306	CID-MSn	2
307	CID-MSn	2
308	CID-MSn	2
309	HMS	1
310	CID-MSn	2
311	CID-MSn	2
312	CID-MSn	2
313	CID-MSn	2
314	CID-MSn	2
315	CID-MSn	2
316	CID-MSn	2
317	CID-MSn	2
318	CID-MSn	2
319	CID-MSn	2
320	HMS	1
321	CID-MSn	2
322	CID-MSn	2
323	CID-MSn	2
324	CID-MSn	2
325	CID-MSn	2
326	CID-MSn	2
327	CID-MSn	2
328	CID-MSn	2
329	CID-MSn	2
330	CID-MSn	2
331	HMS	1
332	CID-MSn	2
333	CID-MSn	2
334	CID-MSn	2
335	CID-MSn	2
336	CID-MSn	2
337	CID-MSn	2
338	CID-MSn	2
339	CID-MSn	2
340	CID-MSn	2
341	CID-MSn	2
342	HMS	1
343	CID-MSn	2
344	CID-MSn	2
345	CID-MSn	2
346	CID-MSn	2
347	CID-MSn	2
348	CID-MSn	2
349	CID-MSn	2
350	CID-MSn	2
351	CID-MSn	2
352	CID-MSn	2
353	HMS	1
354	CID-MSn	2
355	CID-MSn	2
356	CID-MSn	2
357	CID-MSn	2
358	CID-MSn	2
359	CID-MSn	2
360	CID-MSn	2
361	CID-MSn	2
362	CID-MSn	2
363	CID-MSn	2
364	HMS	1
365	CID-MSn	2
366	CID-MSn	2
367	CID-MSn	2
368	CID-MSn	2
369	CID-MSn	2
370	CID-MSn	2
371	CID-MSn	2
372	CID-MSn	2
373	CID-MSn	2
374	CID-MSn	2
375	HMS	1
376	CID-MSn	2
377	CID-MSn	2
378	CID-MSn	2
379	CID-MSn	2
380	CID-MSn	2
381	CID-MSn	2
382	CID-MSn	2
383	CID-MSn	2
384	CID-MSn	2
385	CID-MSn	2
386	HMS	1
387	CID-MSn	2
388	CID-MSn	2
389	CID-MSn	2
390	CID-MSn	2
391	CID-MSn	2
392	CID-MSn	2
393	CID-MSn	2
394	CID-MSn	2
395	CID-MSn	2
396	CID-MSn	2
397	HMS	1
398	CID-MSn	2
399	CID-MSn	2
400	CID-MSn	2
401	CID-MSn	2
402	CID-MSn	2
403	CID-MSn	2
404	CID-MSn	2
405	CID-MSn	2
406	CID-MSn	2
407	CID-MSn	2
408	HMS	1
409	CID-MSn	2
410	CID-MSn	2
411	CID-MSn	2
412	CID-MSn	2
413	CID-MSn	2
414	CID-MSn	2
415	CID-MSn	2
416	CID-MSn	2
417	CID-MSn	2
418	CID-MSn	2
419	HMS	1
420	CID-MSn	2
421	CID-MSn	2
422	CID-MSn	2
423	CID-MSn	2
424	CID-MSn	2
425	CID-MSn	2
426	CID-MSn	2
427	CID-MSn	2
428	CID-MSn	2
429	CID-MSn	2
430	HMS	1
431	CID-MSn	2
432	CID-MSn	2
433	CID-MSn	2
434	CID-MSn	2
435	CID-MSn	2
436	CID-MSn	2
437	CID-MSn	2
438	CID-MSn	2
439	CID-MSn	2
440	CID-MSn	2
441	HMS	1
442	CID-MSn	2
443	CID-MSn	2
444	CID-MSn	2
445	CID-MSn	2
446	CID-MSn	2
447	CID-MSn	2
448	CID-MSn	2
449	CID-MSn	2
450	CID-MSn	2
451	CID-MSn	2
452	HMS	1
453	CID-MSn	2
454	CID-MSn	2
455	CID-MSn	2
456	CID-MSn	2
457	CID-MSn	2
458	CID-MSn	2
459	CID-MSn	2
460	CID-MSn	2
461	CID-MSn	2
462	CID-MSn	2
463	HMS	1
464	CID-MSn	2
465	CID-MSn	2
466	CID-MSn	2
467	CID-MSn	2
468	CID-MSn	2
469	CID-MSn	2
470	CID-MSn	2
471	CID-MSn	2
472	CID-MSn	2
473	CID-MSn	2
474	HMS	1
475	CID-MSn	2
476	CID-MSn	2
477	CID-MSn	2
478	CID-MSn	2
479	CID-MSn	2
480	CID-MSn	2
481	CID-MSn	2
482	CID-MSn	2
483	CID-MSn	2
484	CID-MSn	2
485	HMS	1
486	CID-MSn	2
487	CID-MSn	2
488	CID-MSn	2
489	CID-MSn	2
490	CID-MSn	2
491	CID-MSn	2
492	CID-MSn	2
493	CID-MSn	2
494	CID-MSn	2
495	CID-MSn	2
496	HMS	1
497	CID-MSn	2
498	CID-MSn	2
499	CID-MSn	2
500	CID-MSn	2
501	CID-MSn	2
502	CID-MSn	2
503	CID-MSn	2
504	CID-MSn	2
505	CID-MSn	2
506	CID-MSn	2
507	HMS	1
508	CID-MSn	2
509	CID-MSn	2
510	CID-MSn	2
511	CID-MSn	2
512	CID-MSn	2
513	CID-MSn	2
514	CID-MSn	2
515	CID-MSn	2
516	CID-MSn	2
517	CID-MSn	2
518	HMS	1
519	CID-MSn	2
520	CID-MSn	2
521	CID-MSn	2
522	CID-MSn	2
523	CID-MSn	2
524	CID-MSn	2
525	CID-MSn	2
526	CID-MSn	2
527	CID-MSn	2
528	HMS	1
529	CID-MSn	2
530	CID-MSn	2
531	CID-MSn	2
532	CID-MSn	2
533	CID-MSn	2
534	CID-MSn	2
535	CID-MSn	2
536	CID-MSn	2
537	CID-MSn	2
538	CID-MSn	2
539	HMS	1
540	CID-MSn	2
541	CID-MSn	2
542	CID-MSn	2
543	CID-MSn	2
544	CID-MSn	2
545	CID-MSn	2
546	CID-MSn	2
547	CID-MSn	2
548	CID-MSn	2
549	CID-MSn	2
550	HMS	1
551	CID-MSn	2
552	CID-MSn	2
553	CID-MSn	2
554	CID-MSn	2
555	CID-MSn	2
556	CID-MSn	2
557	CID-MSn	2
558	CID-MSn	2
559	CID-MSn	2
560	CID-MSn	2
561	HMS	1
562	CID-MSn	2
563	CID-MSn	2
564	CID-MSn	2
565	CID-MSn	2
566	CID-MSn	2
567	CID-MSn	2
568	CID-MSn	2
569	CID-MSn	2
570	CID-MSn	2
571	CID-MSn	2
572	HMS	1
573	CID-MSn	2
574	CID-MSn	2
575	CID-MSn	2
576	CID-MSn	2
577	CID-MSn	2
578	CID-MSn	2
579	CID-MSn	2
580	CID-MSn	2
581	CID-MSn	2
582	CID-MSn	2
583	HMS	1
584	CID-MSn	2
585	CID-MSn	2
586	CID-MSn	2
587	CID-MSn	2
588	CID-MSn	2
589	CID-MSn	2
590	CID-MSn	2
591	CID-MSn	2
592	CID-MSn	2
593	CID-MSn	2
594	HMS	1
595	CID-MSn	2
596	CID-MSn	2
597	CID-MSn	2
598	CID-MSn	2
599	CID-MSn	2
600	CID-MSn	2
601	CID-MSn	2
602	CID-MSn	2
603	CID-MSn	2
604	CID-MSn	2
605	HMS	1
606	CID-MSn	2
607	CID-MSn	2
608	CID-MSn	2
609	CID-MSn	2
610	CID-MSn	2
611	CID-MSn	2
612	CID-MSn	2
613	CID-MSn	2
614	CID-MSn	2
615	CID-MSn	2
616	HMS	1
617	CID-MSn	2
618	CID-MSn	2
619	CID-MSn	2
620	CID-MSn	2
621	CID-MSn	2
622	CID-MSn	2
623	CID-MSn	2
624	CID-MSn	2
625	CID-MSn	2
626	CID-MSn	2
627	HMS	1
628	CID-MSn	2
629	CID-MSn	2
630	CID-MSn	2
631	CID-MSn	2
632	CID-MSn	2
633	CID-MSn	2
634	CID-MSn	2
635	CID-MSn	2
636	CID-MSn	2
637	CID-MSn	2
638	HMS	1
639	CID-MSn	2
640	CID-MSn	2
641	CID-MSn	2
642	CID-MSn	2
643	CID-MSn	2
644	CID-MSn	2
645	CID-MSn	2
646	CID-MSn	2
647	HMS	1
648	CID-MSn	2
649	CID-MSn	2
650	CID-MSn	2
651	CID-MSn	2
652	CID-MSn	2
653	CID-MSn	2
654	CID-MSn	2
655	CID-MSn	2
656	CID-MSn	2
657	CID-MSn	2
658	HMS	1
659	CID-MSn	2
660	CID-MSn	2
661	CID-MSn	2
662	CID-MSn	2
663	CID-MSn	2
664	CID-MSn	2
665	CID-MSn	2
666	CID-MSn	2
667	HMS	1
668	CID-MSn	2
669	CID-MSn	2
670	CID-MSn	2
671	CID-MSn	2
672	CID-MSn	2
673	CID-MSn	2
674	CID-MSn	2
675	CID-MSn	2
676	CID-MSn	2
677	CID-MSn	2
678	HMS	1
679	CID-MSn	2
680	CID-MSn	2
681	CID-MSn	2
682	CID-MSn	2
683	CID-MSn	2
684	CID-MSn	2
685	CID-MSn	2
686	CID-MSn	2
687	CID-MSn	2
688	CID-MSn	2
689	HMS	1
690	CID-MSn	2
691	CID-MSn	2
692	CID-MSn	2
693	CID-MSn	2
694	CID-MSn	2
695	CID-MSn	2
696	CID-MSn	2
697	CID-MSn	2
698	CID-MSn	2
699	CID-MSn	2
700	HMS	1
701	CID-MSn	2
702	CID-MSn	2
703	CID-MSn	2
704	CID-MSn	2
705	CID-MSn	2
706	CID-MSn	2
707	CID-MSn	2
708	CID-MSn	2
709	CID-MSn	2
710	CID-MSn	2
711	HMS	1
712	CID-MSn	2
713	CID-MSn	2
714	CID-MSn	2
715	CID-MSn	2
716	CID-MSn	2
717	CID-MSn	2
718	CID-MSn	2
719	CID-MSn	2
720	CID-MSn	2
721	CID-MSn	2
722	HMS	1
723	CID-MSn	2
724	CID-MSn	2
725	CID-MSn	2
726	CID-MSn	2
727	CID-MSn	2
728	CID-MSn	2
729	CID-MSn	2
730	CID-MSn	2
731	CID-MSn	2
732	CID-MSn	2
733	HMS	1
734	CID-MSn	2
735	CID-MSn	2
736	CID-MSn	2
737	CID-MSn	2
738	CID-MSn	2
739	CID-MSn	2
740	CID-MSn	2
741	CID-MSn	2
742	CID-MSn	2
743	CID-MSn	2
744	HMS	1
745	CID-MSn	2
746	CID-MSn	2
747	CID-MSn	2
748	CID-MSn	2
749	CID-MSn	2
750	CID-MSn	2
751	CID-MSn	2
752	CID-MSn	2
753	CID-MSn	2
754	CID-MSn	2
755	HMS	1
756	CID-MSn	2
757	CID-MSn	2
758	CID-MSn	2
759	CID-MSn	2
760	CID-MSn	2
761	CID-MSn	2
762	CID-MSn	2
763	CID-MSn	2
764	CID-MSn	2
765	CID-MSn	2
766	HMS	1
767	CID-MSn	2
768	CID-MSn	2
769	CID-MSn	2
770	CID-MSn	2
771	CID-MSn	2
772	CID-MSn	2
773	CID-MSn	2
774	CID-MSn	2
775	CID-MSn	2
776	CID-MSn	2
777	HMS	1
778	CID-MSn	2
779	CID-MSn	2
780	CID-MSn	2
781	CID-MSn	2
782	CID-MSn	2
783	CID-MSn	2
784	CID-MSn	2
785	CID-MSn	2
786	CID-MSn	2
787	CID-MSn	2
788	HMS	1
789	CID-MSn	2
790	CID-MSn	2
791	CID-MSn	2
792	CID-MSn	2
793	CID-MSn	2
794	CID-MSn	2
795	CID-MSn	2
796	CID-MSn	2
797	CID-MSn	2
798	CID-MSn	2
799	HMS	1
800	CID-MSn	2
801	CID-MSn	2
802	CID-MSn	2
803	CID-MSn	2
804	CID-MSn	2
805	CID-MSn	2
806	CID-MSn	2
807	CID-MSn	2
808	CID-MSn	2
809	CID-MSn	2
810	HMS	1
811	CID-MSn	2
812	CID-MSn	2
813	CID-MSn	2
814	CID-MSn	2
815	CID-MSn	2
816	CID-MSn	2
817	CID-MSn	2
818	CID-MSn	2
819	CID-MSn	2
820	CID-MSn	2
821	HMS	1
822	CID-MSn	2
823	CID-MSn	2
824	CID-MSn	2
825	CID-MSn	2
826	CID-MSn	2
827	CID-MSn	2
828	CID-MSn	2
829	CID-MSn	2
830	CID-MSn	2
831	CID-MSn	2
832	HMS	1
833	CID-MSn	2
834	CID-MSn	2
835	CID-MSn	2
836	CID-MSn	2
837	CID-MSn	2
838	CID-MSn	2
839	CID-MSn	2
840	CID-MSn	2
841	CID-MSn	2
842	CID-MSn	2
843	HMS	1
844	CID-MSn	2
845	CID-MSn	2
846	CID-MSn	2
847	CID-MSn	2
848	CID-MSn	2
849	CID-MSn	2
850	CID-MSn	2
851	CID-MSn	2
852	CID-MSn	2
853	CID-MSn	2
854	HMS	1
855	CID-MSn	2
856	CID-MSn	2
857	CID-MSn	2
858	CID-MSn	2
859	CID-MSn	2
860	CID-MSn	2
861	CID-MSn	2
862	CID-MSn	2
863	CID-MSn	2
864	CID-MSn	2
865	HMS	1
866	CID-MSn	2
867	CID-MSn	2
868	CID-MSn	2
869	CID-MSn	2
870	CID-MSn	2
871	CID-MSn	2
872	CID-MSn	2
873	CID-MSn	2
874	CID-MSn	2
875	CID-MSn	2
876	HMS	1
877	CID-MSn	2
878	CID-MSn	2
879	CID-MSn	2
880	CID-MSn	2
881	CID-MSn	2
882	CID-MSn	2
883	CID-MSn	2
884	CID-MSn	2
885	CID-MSn	2
886	CID-MSn	2
887	HMS	1
888	CID-MSn	2
889	CID-MSn	2
890	CID-MSn	2
891	CID-MSn	2
892	CID-MSn	2
893	CID-MSn	2
894	CID-MSn	2
895	HMS	1
896	CID-MSn	2
897	CID-MSn	2
898	CID-MSn	2
899	CID-MSn	2
900	CID-MSn	2
901	CID-MSn	2
902	CID-MSn	2
903	CID-MSn	2
904	CID-MSn	2
905	CID-MSn	2
906	HMS	1
907	CID-MSn	2
908	CID-MSn	2
909	CID-MSn	2
910	CID-MSn	2
911	CID-MSn	2
912	CID-MSn	2
913	CID-MSn	2
914	CID-MSn	2
915	CID-MSn	2
916	CID-MSn	2
917	HMS	1
918	CID-MSn	2
919	CID-MSn	2
920	CID-MSn	2
921	CID-MSn	2
922	CID-MSn	2
923	CID-MSn	2
924	CID-MSn	2
925	CID-MSn	2
926	CID-MSn	2
927	CID-MSn	2
928	HMS	1
929	CID-MSn	2
930	CID-MSn	2
931	CID-MSn	2
932	CID-MSn	2
933	CID-MSn	2
934	CID-MSn	2
935	CID-MSn	2
936	CID-MSn	2
937	CID-MSn	2
938	CID-MSn	2
939	HMS	1
940	CID-MSn	2
941	CID-MSn	2
942	CID-MSn	2
943	CID-MSn	2
944	CID-MSn	2
945	CID-MSn	2
946	CID-MSn	2
947	CID-MSn	2
948	CID-MSn	2
949	CID-MSn	2
950	HMS	1
951	CID-MSn	2
952	CID-MSn	2
953	CID-MSn	2
954	CID-MSn	2
955	CID-MSn	2
956	CID-MSn	2
957	CID-MSn	2
958	CID-MSn	2
959	CID-MSn	2
960	CID-MSn	2
961	HMS	1
962	CID-MSn	2
963	CID-MSn	2
964	CID-MSn	2
965	CID-MSn	2
966	CID-MSn	2
967	CID-MSn	2
968	CID-MSn	2
969	CID-MSn	2
970	CID-MSn	2
971	CID-MSn	2
972	HMS	1
973	CID-MSn	2
974	CID-MSn	2
975	CID-MSn	2
976	CID-MSn	2
977	CID-MSn	2
978	CID-MSn	2
979	CID-MSn	2
980	CID-MSn	2
981	CID-MSn	2
982	CID-MSn	2
983	HMS	1
984	CID-MSn	2
985	CID-MSn	2
986	CID-MSn	2
987	CID-MSn	2
988	CID-MSn	2
989	CID-MSn	2
990	CID-MSn	2
991	CID-MSn	2
992	CID-MSn	2
993	CID-MSn	2
994	HMS	1
995	CID-MSn	2
996	CID-MSn	2
997	CID-MSn	2
998	CID-MSn	2
999	CID-MSn	2
1000	CID-MSn	2
1001	CID-MSn	2
1002	CID-MSn	2
1003	CID-MSn	2
1004	CID-MSn	2
1005	HMS	1
1006	CID-MSn	2
1007	CID-MSn	2
1008	CID-MSn	2
1009	CID-MSn	2
1010	CID-MSn	2
1011	CID-MSn	2
1012	CID-MSn	2
1013	CID-MSn	2
1014	CID-MSn	2
1015	CID-MSn	2
1016	HMS	1
1017	CID-MSn	2
1018	CID-MSn	2
1019	CID-MSn	2
1020	CID-MSn	2
1021	CID-MSn	2
1022	CID-MSn	2
1023	CID-MSn	2
1024	CID-MSn	2
1025	CID-MSn	2
