Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1253.54832
2	0		1056.53116
3	3	IodoAcet:3,IodoAcet:4,IodoAcet:7	1217.42632
4	0		1459.70146
5	0		1288.57823
6	0		1086.56688
7	0		1359.60142
8	0		1146.54039
9	0		1326.64149
10	0		1098.51926
11	0		1214.54145
12	0		1411.73064
13	0		1482.61435
14	0		1267.60036
15	0		1240.5571
16	0		1162.58292
17	1	Plus1Oxy:3	1353.60814
18	0		1133.53525
19	0		1170.59924
20	1	IodoAcet:1	1336.52006
21	1	IodoAcet:11	1365.58299
22	1	Plus1Oxy:1	1306.54588
23	0		1309.65133
24	2	IodoAcet:4,IodoAcet:11	1396.57105
25	0		1403.64155
26	0		1426.65753
27	1	IodoAcet:1	1466.61944
28	0		1104.54106
29	0		1357.63607
30	1	IodoAcet:8	1002.48038
31	0		1262.61019
32	3	IodoAcet:3,IodoAcet:5,IodoAcet:7	1367.5016
33	0		1177.61897
34	0		1244.5884
35	1	IodoAcet:2	1269.57713
36	2	IodoAcet:7,Plus1Oxy:8	1119.40346
37	0		1199.54178
38	0		1170.59924
39	0		1498.68
40	1	IodoAcet:3	1123.53314
41	0		1493.60047
42	0		1301.60986
43	0		1402.66876
44	0		1327.60438
45	0		1567.67497
46	0		1774.8485
47	0		1293.62003
48	0		1203.59824
49	0		1241.63635
50	0		1155.57711
51	0		1337.61323
52	0		1202.60769
53	1	IodoAcet:2	1322.61357
54	2	IodoAcet:3,IodoAcet:6	1443.52166
55	0		1172.5785
56	0		1234.54991
57	1	IodoAcet:3	1345.52442
58	0		1202.58907
59	0		1364.56911
60	0		1125.61416
61	0		1259.64691
62	0		1291.57923
63	1	Plus1Oxy:1	1308.58668
64	0		1299.65306
65	0		1531.71135
66	0		1306.53465
67	0		1111.58728
68	0		1192.57573
69	1	IodoAcet:9	1238.57131
70	0		1040.5614
71	0		1103.52066
72	0		1547.70627
73	0		1106.52435
74	0		1147.56213
75	0		1965.92787
76	0		1726.8485
77	0		1347.52884
78	0		1406.65245
79	0		1150.48903
80	0		1257.62406
81	0		1341.56839
82	0		1363.58912
83	0		1184.60366
84	1	IodoAcet:2	1288.60809
85	0		1409.63099
86	2	IodoAcet:9,IodoAcet:10	1477.51591
87	0		1158.58801
88	0		1266.60913
89	2	IodoAcet:3,IodoAcet:9	1322.52304
90	0		1149.60293
91	0		1014.57091
92	0		1133.57163
93	0		1150.59818
94	0		1352.63199
95	1	IodoAcet:2	1144.54337
96	1	IodoAcet:6	1049.51749
97	0		1129.59785
98	1	IodoAcet:9	1132.5546
99	0		1210.60807
100	0		1213.6302
101	0		1431.61131
102	0		1118.56074
103	1	IodoAcet:5	1207.4961
104	0		1278.58398
105	0		1434.61634
106	1	IodoAcet:6	1350.5622
107	0		1109.60802
108	0		1147.54687
109	0		1132.56113
110	0		1392.61567
111	0		1263.61284
112	1	IodoAcet:6	1353.58702
113	1	IodoAcet:10	1230.50872
114	1	IodoAcet:6	1238.59647
115	0		1844.90026
116	0		1323.66429
117	0		1183.61964
118	1	IodoAcet:1	1403.67141
119	0		1469.67458
120	1	Plus1Oxy:6	1168.54337
121	0		1515.69531
122	2	IodoAcet:4,IodoAcet:6	1105.56234
123	1	IodoAcet:10	1312.53532
124	0		1222.61931
125	1	Plus1Oxy:5	1179.55935
126	1	IodoAcet:6	1342.60742
127	1	IodoAcet:1	1162.56517
128	0		1226.58907
129	0		1080.58147
130	0		1097.50626
131	0		1133.50223
132	0		1044.52733
133	0		1113.55262
134	2	IodoAcet:9,IodoAcet:10	1501.60643
135	1	IodoAcet:4	1167.52297
136	0		1213.59382
137	1	IodoAcet:9	1230.61384
138	0		1255.60438
139	0		1249.55743
140	1	IodoAcet:7	1103.40854
141	0		1133.51749
142	0		1305.62993
143	0		1306.62517
144	0		1388.66837
145	0		1056.58147
146	0		1216.6411
147	0		1430.70006
148	0		1125.56655
149	0		1324.69861
150	0		1174.63054
151	1	Plus1Oxy:6	1320.62307
152	0		1226.66184
153	0		1319.6833
154	0		1215.56319
155	0		1307.65814
156	1	IodoAcet:9	1154.52772
157	0		1261.62618
158	0		1567.76299
159	0		1190.52032
160	0		1399.65787
161	0		1240.58225
162	0		1354.65166
163	0		1200.6098
164	0		1331.63165
165	0		1168.54337
166	0		1174.50026
167	0		987.52363
168	0		1084.51887
169	0		1240.5571
170	0		1291.60438
171	0		931.47629
172	0		1177.59785
173	0		1334.60233
174	0		1030.56582
175	0		1249.58596
176	0		1198.57303
177	1	IodoAcet:6	1332.68192
178	0		1399.59249
179	0		1370.70409
180	0		1043.59745
181	0		1228.62987
182	0		1182.57678
183	1	IodoAcet:7	1254.59138
184	0		1456.72694
185	0		1292.63601
186	0		2364.15159
187	1	IodoAcet:9	1120.54337
188	0		1162.55393
189	0		1327.64077
190	0		1195.5509
191	0		1265.58873
192	1	IodoAcet:3	1306.56451
193	0		1333.69895
194	0		1122.42537
195	0		1189.63423
196	0		1232.57064
197	0		1225.58259
198	0		1224.56219
199	0		1213.70297
200	0		1285.66659
201	0		1394.65647
202	1	IodoAcet:2	961.50145
203	0		1246.55056
204	0		1122.59203
205	0		1343.72958
206	0		1366.70265
207	0		1146.57678
208	0		1419.65172
209	0		1514.70006
210	0		1314.67788
211	0		1070.59712
212	0		1250.54145
213	0		1380.65206
214	0		2198.99264
215	0		1502.65245
216	1	IodoAcet:2	1138.54404
217	0		1257.55129
218	0		1172.62881
219	1	IodoAcet:5	1234.58629
220	0		1371.73572
221	1	IodoAcet:5	1433.66422
222	0		1164.55229
223	0		1161.54139
224	0		1178.58186
225	0		1277.6615
226	0		1192.57236
