ScanNumber	ScanTime	ScanType
321	0.0854785	2
322	0.085726	2
323	0.0859259	2
324	0.0861511	2
325	0.0863756	2
326	0.0866007	2
327	0.0868008	2
328	0.0870257	2
329	0.0872673	2
330	0.087492	2
331	0.0877168	2
332	0.08792	2
333	0.0881273	2
334	0.0883272	2
335	0.0885275	2
336	0.0887271	2
337	0.0889316	2
338	0.0891567	2
339	0.0893565	2
340	0.0895564	2
341	0.0897564	2
342	0.0899563	2
343	0.0901813	2
344	0.0903809	2
345	0.0905809	2
346	0.0908057	2
347	0.0910057	2
348	0.0912133	2
349	0.0914133	2
350	0.0916131	2
351	0.0918133	2
352	0.0920385	2
353	0.0922637	2
354	0.0924903	2
355	0.0927161	2
356	0.0929408	2
357	0.0932536	1
358	0.0952079	2
359	0.0954076	2
360	0.0956328	2
361	0.0958579	2
362	0.0960836	2
363	0.0962837	2
364	0.0965311	2
365	0.0967311	2
366	0.096956	2
367	0.097156	2
368	0.0973829	2
369	0.0976076	2
370	0.0978085	2
371	0.0980085	2
372	0.0982083	2
373	0.0984083	2
374	0.0986083	2
375	0.0988332	2
376	0.0990579	2
377	0.0992583	2
378	0.099506	2
379	0.099706	2
380	0.0999063	2
381	0.1001311	2
382	0.1003313	2
383	0.1005315	2
384	0.1007561	2
385	0.1009811	2
386	0.1012059	2
387	0.1014307	2
388	0.1016553	2
389	0.1018805	2
390	0.1021056	2
391	0.1023307	2
392	0.1025333	2
393	0.1027807	2
394	0.1029807	2
395	0.1031808	2
396	0.1033821	2
397	0.1036085	2
398	0.1039196	1
399	0.1058737	2
400	0.1060736	2
401	0.1062984	2
402	0.1065232	2
403	0.1067485	2
404	0.1069736	2
405	0.1071755	2
406	0.1074001	2
407	0.1076249	2
408	0.1078724	2
409	0.1080724	2
410	0.1082972	2
411	0.1085421	2
412	0.108768	2
413	0.1089928	2
414	0.1091925	2
415	0.1093925	2
416	0.1095924	2
417	0.1097925	2
418	0.1099923	2
419	0.1101923	2
420	0.1104205	2
421	0.1106208	2
422	0.1108211	2
423	0.1110293	2
424	0.1112292	2
425	0.1114541	2
426	0.1116539	2
427	0.1118549	2
428	0.1120797	2
429	0.1122832	2
430	0.1124832	2
431	0.1126829	2
432	0.1128865	2
433	0.1130864	2
434	0.1133132	2
435	0.1135379	2
436	0.1137631	2
437	0.113988	2
438	0.1142353	2
439	0.1145457	1
440	0.1164997	2
441	0.1166995	2
442	0.1169245	2
443	0.1171492	2
444	0.117374	2
445	0.1175739	2
446	0.1177988	2
447	0.1179985	2
448	0.1182459	2
449	0.1184461	2
450	0.1186709	2
451	0.1188957	2
452	0.1190955	2
453	0.1193029	2
454	0.1195073	2
455	0.1197071	2
456	0.1199071	2
457	0.1201321	2
458	0.1203568	2
459	0.1205567	2
460	0.1207815	2
461	0.1209849	2
462	0.1211921	2
463	0.1214181	2
464	0.1216189	2
465	0.1218191	2
466	0.1220439	2
467	0.1222687	2
468	0.122516	2
469	0.1227421	2
470	0.1229668	2
471	0.1231917	2
472	0.1234175	2
473	0.1236424	2
474	0.1238421	2
475	0.1240691	2
476	0.1242689	2
477	0.1245813	1
478	0.1265353	2
479	0.1267355	2
480	0.1269604	2
481	0.1271852	2
482	0.1273851	2
483	0.1276339	2
484	0.1278595	2
485	0.1280843	2
486	0.1283124	2
487	0.1285124	2
488	0.1287376	2
489	0.1289623	2
490	0.1292097	2
491	0.1294096	2
492	0.1296347	2
493	0.1298761	2
494	0.1301008	2
495	0.1303256	2
496	0.1305255	2
497	0.1307252	2
498	0.1309253	2
499	0.1311256	2
500	0.1313256	2
501	0.1315255	2
502	0.1317539	2
503	0.1319539	2
504	0.1321612	2
505	0.1323629	2
506	0.1325641	2
507	0.1327889	2
508	0.1329888	2
509	0.1331887	2
510	0.1334137	2
511	0.1336153	2
512	0.1338156	2
513	0.134024	2
514	0.1342237	2
515	0.1344235	2
516	0.13465	2
517	0.1348801	2
518	0.1351891	1
519	0.1371432	2
520	0.1373683	2
521	0.1375943	2
522	0.1377943	2
523	0.1379944	2
524	0.1382224	2
525	0.1384476	2
526	0.1386728	2
527	0.1388729	2
528	0.1391212	2
529	0.1393209	2
530	0.1395456	2
531	0.139746	2
532	0.1399711	2
533	0.1401957	2
534	0.1403957	2
535	0.1405956	2
536	0.1407989	2
537	0.1409987	2
538	0.1411983	2
539	0.1414236	2
540	0.1416485	2
541	0.1418484	2
542	0.1420733	2
543	0.1422813	2
544	0.1424821	2
545	0.1427073	2
546	0.1429075	2
547	0.1431077	2
548	0.1433324	2
549	0.1435603	2
550	0.1437853	2
551	0.14401	2
552	0.1442357	2
553	0.144462	2
554	0.1446869	2
555	0.1449119	2
556	0.1451125	2
557	0.1453411	2
558	0.1455408	2
559	0.1458499	1
560	0.1478039	2
561	0.1480036	2
562	0.1482287	2
563	0.148454	2
564	0.1486539	2
565	0.1488787	2
566	0.149126	2
567	0.1493509	2
568	0.1495789	2
569	0.1497788	2
570	0.1500037	2
571	0.1502284	2
572	0.1504552	2
573	0.1506548	2
574	0.1509021	2
575	0.151144	2
576	0.1513692	2
577	0.1515939	2
578	0.1517943	2
579	0.1519984	2
580	0.1521983	2
581	0.1523981	2
582	0.1525981	2
583	0.1527991	2
584	0.1530237	2
585	0.1532239	2
586	0.1534236	2
587	0.1536236	2
588	0.1538309	2
589	0.1540557	2
590	0.1542556	2
591	0.1544601	2
592	0.1546849	2
593	0.1548855	2
594	0.1550867	2
595	0.1552888	2
